,PARCHEGGIO,PROVINCIA,DENOMINAZIONE,SITO WEB,ACCESSO AI DISABILI,TELEFONO,COMUNE,INDIRIZZO,EMAIL,LAGO,FITNESS,SAUNA,ARIA CONDIZIONATA,ANIMALI AMMESSI,PISCINA,PISCINA COPERTA
17,Vero,VERONA,AFFITTACAMERE FELIX,www.villaterri.it,Falso,045509744,VERONA,Via delle Menegone,info@villaterri.it,Falso,Falso,Falso,Vero,Falso,Falso,Falso
18,Vero,VERONA,AFFITTACAMERE GIRARDI TERESA,www.villaterri.it,Falso,045509744,VERONA,Via delle Menegone,info@villaterri.it,Falso,Falso,Falso,Falso,Falso,Falso,Falso
19,Vero,VERONA,AFFITTACAMERE GIRASOLE,www.villaterri.it,Falso,045509744,VERONA,Via delle Menegone,info@villaterri.it,Falso,Falso,Falso,Vero,Vero,Falso,Falso
20,Vero,VERONA,AFFITTACAMERE GIRELLI SORELLE,,Falso,0457152073,BUSSOLENGO,Loc. Zamboni,info@girellisorelle.it,Falso,Falso,Falso,Vero,Falso,Falso,Falso
21,Vero,VERONA,AFFITTACAMERE IL BLOCCO,,Falso,045 9211311,SAN GIOVANNI LUPATOTO,Via Cà Nova Zampieri,,Falso,Falso,Falso,Vero,Falso,Falso,Falso
22,Vero,VERONA,AFFITTACAMERE LA DIVINA,www.ladivina.it,Falso,0456000135,NEGRAR,Via Francia,info@ladivina.it,Falso,Falso,Falso,Vero,Falso,Falso,Falso
23,Vero,VERONA,AFFITTACAMERE LA SOSTA,,Falso,045 6862744 - 349 5229715,CAVAION VERONESE,VIA VAL DE L'AZE',locandalasosta@gmail.com,Falso,Falso,Falso,Vero,Falso,Falso,Falso
24,Vero,VERONA,AFFITTACAMERE MARISA,www.affittacamere-marisa.com,Falso,0457945353,VALEGGIO SUL MINCIO,Via Fontanello,info@affittacamere-marisa.com,Falso,Falso,Falso,Vero,Vero,Falso,Falso
25,Vero,VERONA,AFFITTACAMERE MATTEO BORGO ROMA,www.affittacamerematteoborgoroma.it,Vero,328 0504768,VERONA,Via Pasqualino Benedetti,affittacamerematteo@gmail.com,Falso,Falso,Falso,Vero,Falso,Falso,Falso
26,Vero,VERONA,AFFITTACAMERE TRIESTE,,Falso,0442670187,BONAVIGO,Via Trieste,,Falso,Falso,Falso,Falso,Falso,Falso,Falso
27,Falso,VERONA,AI LEONI,www.aileoni.com,Falso,348 4746880,VERONA,Via XX Settembre,aileoni@libero.it,Falso,Falso,Falso,Falso,Falso,Falso,Falso
28,Vero,VERONA,AI PLATANI,,Falso,0457513149 - 3490657178,NEGRAR,Viale del lavoro,tratplat@libero.it,Falso,Falso,Falso,Falso,Falso,Falso,Falso
29,Vero,VERONA,AIR SUITE,,Falso,045 595388,VERONA,Corso Porta Nuova,info@hotelmastino.it,Falso,Falso,Falso,Vero,Falso,Falso,Falso
30,Vero,VERONA,AL CASTEL,,Falso,3331753240,BRENTINO BELLUNO,Località Castel,fasolielisa@yahoo.it,Falso,Falso,Falso,Vero,Falso,Falso,Falso
31,Vero,VERONA,AL GAVINEL,,Falso,045 7535084,SANT'ANNA D'ALFAEDO,Via Ceredo,eddilaiti@gmail.com,Falso,Falso,Falso,Falso,Falso,Falso,Falso
32,Falso,VERONA,ALLE ERBE,www.alleerbe.it,Falso,3484746880,VERONA,Corte Sgarzarie,bballeerbe@libero.it,Falso,Falso,Falso,Vero,Falso,Falso,Falso
33,Vero,VERONA,ALLOGGIO LA PESA,www.camereverona.com,Falso,045550368,VERONA,Via Poiano,lapesaverona@gmail.com,Falso,Falso,Falso,Vero,Vero,Falso,Falso
34,Vero,VERONA,ALLOGGIO LE CASETTE,,Vero,0458007512,VERONA,VICOLO SAN LORENZO,alloggio.lecasette@gmail.com,Falso,Falso,Falso,Falso,Vero,Falso,Falso
35,Vero,VERONA,ALLOGGIO MAROGNA,www.alloggisantanna.it,Falso,366 2273119,SANT'ANNA D'ALFAEDO,Piazza dalla Bona,info@alloggisantanna.it,Falso,Falso,Falso,Falso,Falso,Falso,Falso
36,Vero,VERONA,AL SOLE,www.pizzeriaalsole.it,Falso,0457550826,PESCHIERA DEL GARDA,Via Andrea Palladio,info@pizzeriaalsole.it,Falso,Falso,Falso,Vero,Vero,Falso,Falso
37,Falso,VERONA,AMANTITRE,,Falso,045595499,VERONA,VICOLO AMANTI,info@anticaportaleona.com,Falso,Falso,Falso,Vero,Falso,Falso,Falso
38,Falso,VERONA,ANDREOLI & MIGLIORANZI,www.hotelallacampagna.com,Falso,045545513,SAN GIOVANNI LUPATOTO,Via Borgo Case Popolari,info@hotelallacampagna.com,Falso,Falso,Falso,Vero,Falso,Falso,Falso
39,Vero,VERONA,ANTICA DIMORA IL CONTE DI VERONA,www.anticadimoraverona.it,Falso,045 6770346 -  366 1233368,PASTRENGO,Località Ronchi,anticadimorailconte@gmail.com,Falso,Falso,Falso,Vero,Vero,Falso,Falso
40,Vero,VERONA,ANTICA TRATTORIA DA BEPI,www.cortelonardi.it,Falso,0457755001,MARANO DI VALPOLICELLA,Via Valpolicella,info@anticatrattoriadabepi.it,Falso,Falso,Falso,Vero,Falso,Falso,Falso
41,Falso,VERONA,ANTICO ALLOGGIO LESSINIA,,Vero,045 7835503,VELO VERONESE,Piazza Vittoria,pizzerialessinia@gmail.com,Falso,Falso,Falso,Falso,Vero,Falso,Falso
42,Falso,VERONA,ARCOBALENO,,Falso,0457514243 - 3338266357,VERONA,Via Gian Battista da Monte,info@arcobalenoverona.com,Falso,Falso,Falso,Vero,Falso,Falso,Falso
43,Falso,VERONA,ARENA LUXURY ROOMS,www.arenaluxuryroom.it,Falso,347 5858693,VERONA,PIAZZA MURA GALLIENO,info@arenaluxuryroom.it,Falso,Falso,Falso,Vero,Falso,Falso,Falso
44,Vero,VERONA,ARENA SUITE,WWW.ARENASUITE.IT,Falso,3475903135,VERONA,STRADONE PORTA PALIO,INFO@ARENASUITE.IT,Falso,Falso,Falso,Vero,Falso,Falso,Falso
45,Vero,VERONA,ART VERONA ROOMS,www.artveronabb.it,Falso,391 3554159,VERONA,Piazza Renato Simoni,info@artveronabb.it,Falso,Falso,Falso,Vero,Vero,Falso,Falso
46,Falso,VERONA,ATTICO SEI,www.atticosei.com,Falso,333 6587337,VERONA,Piazzale Stefani,info@atticosei.com,Falso,Falso,Falso,Vero,Vero,Falso,Falso
47,Falso,VERONA,AUNUS NATURE RELAIS,www.aunus.it,Falso,3406648983,ROVERE' VERONESE,via Della Valletta,maurozampieri59@gmail.com,Falso,Falso,Falso,Falso,Falso,Falso,Falso
48,Falso,VERONA,AURELIA ROOMS,,Falso,388 3278700,VERONA,CORSO PORTA NUOVA,aureliarooms.verona@gmail.com,Falso,Falso,Falso,Vero,Vero,Falso,Falso
49,Vero,VERONA,BARDOLINERS,www.bardoliners.com,Falso,045 6211008,BARDOLINO,Via Palestro,info@bardoliners.com,Vero,Falso,Falso,Vero,Falso,Falso,Falso
50,Vero,VERONA,BENAMATI RACHELE2,www.casabenamati.it,Vero,0456584269,MALCESINE,Via Navene Vecchia,info@casabenamati.it,Vero,Falso,Falso,Falso,Vero,Falso,Falso
51,Vero,VERONA,BENEDETTI GIACOMINA,,Falso,0457401111,MALCESINE,Località Sottodossi,trimelonimargherita@yahoo.it,Vero,Falso,Falso,Falso,Vero,Falso,Falso
52,Vero,VERONA,BIKE TUOR SUITE,,Falso,045 595388,VERONA,Corso Porta Nuova,info@hotelmastino.it,Falso,Falso,Falso,Vero,Falso,Falso,Falso
53,Falso,VERONA,BORGO ANTICO,www.borgoanticodisoave.com,Falso,3496519241,SOAVE,CORSO VITTORIO EMANUELE,borgoanticosoave@gmail.com,Falso,Falso,Falso,Vero,Vero,Falso,Falso
54,Vero,VERONA,BORGO PORTA ROSSA,www.progettoindue.com,Falso,045 7500637,NEGRAR,"VIA PORTA ROSSA,",patriziakrisa@me.com,Falso,Falso,Falso,Falso,Vero,Falso,Falso
55,Vero,VERONA,BOUTIQUE  ROOM,,Vero,045595388,VERONA,VIA SANT'ANTONIO,edoardocaldari@hotelmastino.it,Falso,Falso,Falso,Vero,Falso,Falso,Falso
56,Vero,VERONA,CA' DELL'ORTO,www.cadellorto.it,Falso,0458303554,VERONA,Via Francesco Da Levanto,info@cadellorto.it,Falso,Falso,Falso,Vero,Falso,Falso,Falso
57,Vero,VERONA,CA' MADDALENA,www.bedandbreakfastcamaddalena.it,Falso,0456302943,VILLAFRANCA DI VERONA,LOCALITA' PIGNO,info@camaddalena.it,Falso,Falso,Falso,Vero,Falso,Falso,Falso
58,Vero,VERONA,CAMERE ELENA,www.affittacamereelena.it,Falso,348 7030345,LAZISE,VICOLO CONFINE,info@affittacamereelena.it,Falso,Falso,Falso,Falso,Falso,Falso,Falso
59,Vero,VERONA,CAMERE GIRASOLE,,Falso,3487030345,LAZISE,VIA ZAPPO,info@cameregirasole.com,Vero,Falso,Falso,Vero,Vero,Falso,Falso
60,Vero,VERONA,CAMERE LA COLOMBARA,www.lacolombaracamere.it,Falso,0456210051,BARDOLINO,Via Monsurei,info@lacolombaracamere.it,Falso,Falso,Falso,Vero,Vero,Falso,Falso
61,Vero,VERONA,CAMERE LEONARDO,,Vero,3498505551,SAN GIOVANNI LUPATOTO,Via Garofoli,reception.leonardo@gmail.com,Falso,Falso,Falso,Vero,Vero,Falso,Falso
62,Vero,VERONA,CAMERE MARY ROSE 2,,Falso,0456470709,LAZISE,Via Pastrengo,info@hotelmaryrose.it,Vero,Falso,Falso,Vero,Falso,Falso,Falso
63,Falso,VERONA,CAMERE VIA SANZIO,www.lefinestresuborghetto.it,Falso,335 7419453,VALEGGIO SUL MINCIO,Via R. Sanzio - Borghetto,info@lefinestresuborghetto.it,Falso,Falso,Falso,Vero,Falso,Falso,Falso
64,Vero,VERONA,CAMPAGNARI ANGELINA,,Falso,0457210727,BARDOLINO,Via San Colombano,,Falso,Falso,Falso,Falso,Vero,Falso,Falso
65,Falso,VERONA,CANCELLATO,,Falso,,NEGRAR,,,Falso,Falso,Falso,Falso,Falso,Falso,Falso
66,Vero,VERONA,CAORSA,www.caorsa.it,Falso,0457235039,AFFI,Località Caorsa,info@caorsa.it,Falso,Falso,Falso,Vero,Falso,Falso,Falso
67,Falso,VERONA,CASA AI POGGI,www.alsole.it,Falso,0457210822,BARDOLINO,Via dei Poggi,al-sole@kriss.it,Vero,Falso,Falso,Falso,Falso,Falso,Falso
68,Vero,VERONA,CASA ANTICA ROSSATO,www.casanticarossato.it,Falso,044230405,CEREA,Via Mantova,info@casanticarossato.it,Falso,Falso,Falso,Vero,Falso,Falso,Falso
69,Vero,VERONA,CASA ARCHI,www.punta-sanvigilio.it,Falso,0457255884,GARDA,Via San Vigilio,info@punta-sanvigilio.it,Vero,Falso,Falso,Vero,Vero,Falso,Falso
70,Vero,VERONA,CASA CITELLA GUEST HOUSE,www.casacitella.it,Vero,045 6766368,BUSSOLENGO,Via Citella,info@casacitella.it,Falso,Falso,Falso,Vero,Falso,Falso,Falso
71,Vero,VERONA,CASA DEI FRACCAROLI,,Falso,0456850126,SAN PIETRO IN CARIANO,Via Castello,info@castrumrelais.it,Falso,Falso,Falso,Vero,Vero,Falso,Falso
72,Vero,VERONA,CASA FELTRINELLI,,Falso,0456570090,MALCESINE,Via Gardesana,luca.feltrinelli@gmail.com,Vero,Falso,Falso,Falso,Falso,Falso,Falso
73,Vero,VERONA,CASA FOLA,www.casafola.com,Vero,0459231244,VERONA,Vicolo Pietrone,info@casafola.com,Falso,Falso,Falso,Vero,Vero,Falso,Falso
74,Vero,VERONA,CASA GIGLIO,,Falso,0457930253-0456340909,MOZZECANE,Via Caterina Bon Brenzoni,ristgel@gmail.com,Falso,Falso,Falso,Vero,Falso,Falso,Falso
75,Vero,VERONA,CASA GRAZIELLA,,Falso,045 6296080,TORRI DEL BENACO,Località Frader,casadigraziella@gmail.com,Vero,Falso,Falso,Vero,Vero,Falso,Falso
76,Falso,VERONA,CASA HELLEN,www.alloggiocasahellen.com,Falso,0457610649 / 0457614814,MONTEFORTE D'ALPONE,Via Matteotti,info@alloggiocasahellen.com,Falso,Falso,Falso,Vero,Falso,Falso,Falso
77,Vero,VERONA,CASA LADY DI BONOMI IVAN,www.casalady.it,Falso,0457256562 - 340 0539208,GARDA,Via Verdi,ivan@casalady.it,Vero,Falso,Falso,Vero,Vero,Falso,Falso
78,Vero,VERONA,CASALIVA,www.casaliva.it,Falso,0457211350,BARDOLINO,STRADA DI SEM,info@casaliva.it,Vero,Falso,Falso,Vero,Falso,Falso,Falso
79,Vero,VERONA,CASA MAGNANI,www.casamagnani.it,Falso,3404715135 / 3384022579,VERONA,Via Messer Ottonello,info@casamagnani.it,Falso,Falso,Falso,Vero,Vero,Falso,Falso
80,Vero,VERONA,CASA MARTORI,,Falso,045 7550281,PESCHIERA DEL GARDA,LOCALITA' FORNACI,alpescatore@alice.it,Vero,Falso,Falso,Falso,Falso,Falso,Falso
81,Vero,VERONA,CASA MILANI 2,www.casamilani.it,Falso,0457400460,MALCESINE,Via Puri,info@casamilani.it,Falso,Falso,Falso,Falso,Falso,Falso,Falso
82,Falso,VERONA,CASA MOSOLE,www.casamosole.com,Falso,348 5310790 - 045 2589430,MALCESINE,Via Bottura,info@casamosole.com,Falso,Falso,Falso,Falso,Falso,Falso,Falso
83,Falso,VERONA,CASA PANVINIO,,Falso,045 8031251,VERONA,Lungadige Panvinio,info@casapanvinio.it,Falso,Falso,Falso,Vero,Falso,Falso,Falso
84,Vero,VERONA,CASA SILVANA,,Falso,0457430204,BRENZONE SUL GARDA,"Via Vespucci,",info@casasilvana.net,Vero,Falso,Falso,Falso,Vero,Falso,Falso
85,Vero,VERONA,CASA SUL GARDA,www.bbcasasulgarda.com,Vero,331 1005006,PESCHIERA DEL GARDA,Via Risorgimento,info@bbcasasulgarda.com,Vero,Falso,Falso,Vero,Vero,Falso,Falso
86,Vero,VERONA,CASTRUM RELAIS,www.castrumrelais.it,Falso,0456850126,SAN PIETRO IN CARIANO,Via Castello,info@castrumrelais.it,Falso,Falso,Falso,Vero,Vero,Falso,Falso
87,Vero,VERONA,CA' VETTOR UNO,www.cavettor.com,Falso,0456261278,AFFI,VIA CA' DEL BOSCO,info@cavettor.com,Falso,Falso,Falso,Falso,Falso,Falso,Falso
88,Falso,VERONA,CENTER IN THE HEART,,Falso,0458036370,VERONA,Vicolo Tre Marchetti,zaniniristorazione@libero.it,Falso,Falso,Falso,Vero,Falso,Falso,Falso
89,Falso,VERONA,CHAMBRES OPERA',,Vero,045/6470205,LAZISE,VIA MONTE BALDO,laboheme@ristoclassique.it,Vero,Falso,Falso,Falso,Vero,Falso,Falso
90,Falso,VERONA,CLARA E LUCIANO,,Falso,0456210244,BARDOLINO,"Via Borgo Cavour,",cameredaluciano@gmail.com,Vero,Falso,Falso,Falso,Vero,Falso,Falso
91,Vero,VERONA,CONSOLINI MAURO,,Falso,0457256113,GARDA,Via Montebaldo,consolinimauro@yahoo.it,Falso,Falso,Falso,Falso,Falso,Falso,Falso
92,Falso,VERONA,CONSOLINI MAURO - PICCOLO BAR,www.piccolobar.it,Falso,045 7255561 - 335 6182575,GARDA,VIA ANTICHE MURA,piccolobargarda@gmail.com,Vero,Falso,Falso,Falso,Falso,Falso,Falso
93,Vero,VERONA,CORTE BRIGAFATTA,,Falso,045 7364000,VIGASIO,Via Zambonina,roberta.stacchezzini@gmail.com,Falso,Falso,Falso,Falso,Falso,Falso,Falso
94,Vero,VERONA,CORTE CASALIVA,www.casalica.it,Falso,045/7211350,BARDOLINO,"Contrada Rocca,",info@casaliva.it,Vero,Falso,Falso,Vero,Vero,Falso,Falso
95,Vero,VERONA,CORTE DEI SOAVI,www.cortedeisoavi.com,Vero,045 7675316,SOAVE,Via Pigna,info@cortedeisoavi.com,Falso,Falso,Falso,Vero,Falso,Falso,Falso
96,Vero,VERONA,CORTE FORMIGAR,www.corteformigar.it,Falso,3480956717,SANT'AMBROGIO DI VALPOLICELLA,Via Formigar,info@corteformigar.it,Falso,Falso,Falso,Vero,Falso,Falso,Falso
97,Vero,VERONA,CORTE JAGO,www.cortejago.com,Falso,3471261100,NEGRAR,Via Jago di Mezzo,paolasona17@gmail.com,Falso,Falso,Falso,Falso,Vero,Falso,Falso
98,Falso,VERONA,CORTE MERIGHI ROOMS AND BREAKFAST,www.cortemerighi.it,Falso,3913553522,VERONA,Via Vittorio Merighi,corte.merighi@gmail.com,Falso,Falso,Falso,Vero,Falso,Falso,Falso
99,Falso,VERONA,CORTE MORENO,infocortemoreno.com,Falso,342-1742178 335-7775878,SAN ZENO DI MONTAGNA,via del carro,cortemoreno@gmail.com,Falso,Falso,Falso,Falso,Falso,Falso,Falso
100,Falso,VERONA,CORTE REALDI,www.corterealdiverona.com,Vero,045 594015,VERONA,Vicolo Cieco Monachine,info@corterealdiverona.com,Falso,Falso,Falso,Vero,Vero,Falso,Falso
101,Vero,VERONA,CORTE REALDI VERONA,,Falso,045594015,VERONA,VICOLO SAN MATTEO,info@corterealdiverona.com,Falso,Falso,Falso,Vero,Vero,Falso,Falso
102,Falso,VERONA,COUNTRY HOUSE CORTE MARZAGO,,Falso,0457945104,VALEGGIO SUL MINCIO,località Corte Marzago,info@cortemarzago.com,Falso,Falso,Falso,Falso,Falso,Falso,Falso
103,Vero,VERONA,CQ ROOMS VERONA,www.cqroomsverona.com,Vero,045580506,VERONA,Via Roveggia,info@cqroomsverona.com,Falso,Falso,Falso,Vero,Falso,Falso,Falso
104,Vero,VERONA,DA LUCIA,,Falso,0457590180,LAZISE,"Via Malcanton,",turrini.gestioni@gmail.com,Falso,Falso,Falso,Vero,Vero,Falso,Falso
105,Vero,VERONA,DAMARANTO RESIDENZA E CUCINA,www.damaranto.com,Vero,0456190701,SOAVE,Corso Vittorio Emanuele,info@damaranto.com,Falso,Falso,Falso,Vero,Falso,Falso,Falso
106,Vero,VERONA,DA SABRINA,www.affittacameredasabrina.com,Falso,0456400102,PESCHIERA DEL GARDA,Località Broglie,info@affittacameredasabrina.com,Vero,Falso,Falso,Vero,Vero,Falso,Falso
107,Falso,VERONA,DIMORAS HOUSE,www.residenceverona.it,Falso,045 8005500,VERONA,Via dei Mutilati,info@residenceverona.it,Falso,Falso,Falso,Falso,Falso,Falso,Falso
108,Falso,VERONA,DORMIRE ALLA RUOTA,www.trattoriaallaruota.it,Falso,0457525605,NEGRAR,Via San Marco,trattoriaallaruota@gmail.com,Falso,Falso,Falso,Vero,Falso,Falso,Falso
109,Falso,VERONA,ESCALUS LUXURY SUITES VERONA,WWW.ESCALUSVERONA.COM,Falso,0458036754,VERONA,VICOLO TRE MARCHETTI,INFO@ESCALUSVERONA.COM,Falso,Falso,Falso,Vero,Falso,Falso,Falso
110,Falso,VERONA,EXCLUSIVE'S ROOM,,Falso,045/590890,VERONA,VIA XX SETTEMBRE,info@locandavescovo.it,Falso,Falso,Falso,Vero,Vero,Falso,Falso
111,Vero,VERONA,FILO',garnifilo.com,Falso,0458222186,VERONA,Viale delle Nazioni,garni.filo@gmail.com,Falso,Falso,Falso,Vero,Falso,Falso,Falso
112,Vero,VERONA,GALLERY  ROOM,,Vero,045595388,VERONA,VIA SANT'ANTONIO,edoardocaldari@hotelmastino.it,Falso,Falso,Falso,Vero,Falso,Falso,Falso
113,Falso,VERONA,GUESTHOUSE GRAND VIEW,www.guesthousegrandview.com,Falso,045 6590219,MALCESINE,via Masotta,info@guesthousegrandview.com,Falso,Falso,Falso,Falso,Falso,Falso,Falso
114,Falso,VERONA,GUESTHOUSE GRAND VIEW II,,Falso,0456590219,MALCESINE,via Masotta,info@guesthousegrandwiew.com,Falso,Falso,Falso,Falso,Falso,Falso,Falso
115,Vero,VERONA,GUEST HOUSE LE MARIE,www.trattorialemarie.it,Vero,0457325087,SORGA',Via Matteotti,info@trattorialemarie.it,Falso,Falso,Falso,Vero,Falso,Falso,Falso
116,Vero,VERONA,IL CASALE,,Falso,0456350714,POVEGLIANO VERONESE,Via Azzano,il_casale@virgilio.it,Falso,Falso,Falso,Vero,Falso,Falso,Falso
117,Vero,VERONA,IL PALAZZETTO,,Falso,045 7580003,LAZISE,Corso Cangrande,cangrandehotel@tiscalinet.it,Vero,Falso,Falso,Vero,Falso,Falso,Falso
118,Vero,VERONA,IL PICCOLO SOGNO,,Falso,348 7695171,VERONA,Via Golino,ilpiccolosogno.ce@gmail.com,Falso,Falso,Falso,Vero,Falso,Falso,Falso
119,Vero,VERONA,IL PIONIERE,,Falso,347 7255416,VILLAFRANCA DI VERONA,Via Nino Bixio,info@ilpioniere.com,Falso,Falso,Falso,Vero,Falso,Falso,Falso
120,Vero,VERONA,IL PORTICCIOLO,www.ristoranteporticciolo.it,Falso,045 7551947,CASTELNUOVO DEL GARDA,Via Campanello,porticciolodelcampanello@gmail.com,Vero,Falso,Falso,Vero,Falso,Falso,Falso
121,Vero,VERONA,IL RELAIS,www.ilrelais.com,Vero,39 3332126999 0458036494,VERONA,CORSO CASTELVECCHIO,info@ilrelais.com,Falso,Falso,Falso,Vero,Falso,Falso,Falso
122,Vero,VERONA,LA BOHEME,www.ristoclassique.it,Falso,0456470205,LAZISE,Via mOnte Baldo,laboheme@ristoclassique.it,Vero,Falso,Falso,Vero,Vero,Falso,Falso
123,Vero,VERONA,LA CASA DEL SOGNO,,Falso,339 6058221 - 334 9249278,MONTEFORTE D'ALPONE,Via Vittorio Veneto,info@lacasadelsogno.com,Falso,Falso,Falso,Vero,Falso,Falso,Falso
124,Falso,VERONA,LA CORTE DI GIULIETTA EXCLUSIVE SUITES,www.cortedigiulietta.it,Falso,045800327 3284266610,VERONA,VIA CAPPELLO,info@cortedigiulietta.it,Falso,Falso,Falso,Vero,Falso,Falso,Falso
125,Vero,VERONA,LA DILETTA - CAMERE DI CHARME,www.veronaefiererooms.it,Falso,3482332977,VERONA,via Zanella,michele.rebonato@alice.it,Falso,Falso,Falso,Vero,Falso,Falso,Falso
126,Falso,VERONA,LADY VERONA IN LOVE,,Vero,045/2224769,VERONA,VIA ARMANDO DIAZ,ladyveronabb@libero.it,Falso,Falso,Falso,Vero,Falso,Falso,Falso
127,Vero,VERONA,LA FONTE DEGLI DEI,,Vero,045 7514039,NEGRAR,Via Cà di Giove,cristina@lafontedeglidei.eu,Falso,Falso,Falso,Vero,Falso,Falso,Falso
128,Falso,VERONA,LA FORGIA,,Falso,045 6470372,LAZISE,Via Calle I^,laforgialazise@gmail.com,Vero,Falso,Falso,Vero,Falso,Falso,Falso
129,Vero,VERONA,LA FORGIA,www.camerelagodigarda.com,Vero,0456402434,PESCHIERA DEL GARDA,VIA LEOPARDI,info@camerelagodigarda.com,Vero,Falso,Falso,Vero,Falso,Falso,Falso
130,Falso,VERONA,LAGHETTO DEL FRASSINO,,Falso,3450471947,PESCHIERA DEL GARDA,via Raimondo Vianello,laghettodelfrassino@icloud.com,Falso,Falso,Falso,Falso,Falso,Falso,Falso
131,Vero,VERONA,LA LANTERNA,,Falso,045-6279040,GARDA,"VIA TORRENTE GUSA,",info@lalanternagarda.it,Vero,Falso,Falso,Vero,Falso,Falso,Falso
132,Vero,VERONA,LA MERIDIANA,lameridiana-valpolicella.it,Falso,0456839228 - 0456839146,FUMANE,Via Osan,lameridiana@valpolicella.it,Falso,Falso,Falso,Falso,Vero,Falso,Falso
133,Vero,VERONA,LA MIMOSA,www.lamimosa-lazise.it,Falso,0456470946,LAZISE,Via Sentieri,info@lamimosa-lazise.it,Vero,Falso,Falso,Falso,Vero,Falso,Falso
134,Vero,VERONA,LA MONTANARA,www.lamontanara.vr.it,Vero,045 6510070,SELVA DI PROGNO,Piazza Monsignor W. Pertegato,info@lamontanara.vr.it,Falso,Falso,Falso,Falso,Falso,Falso,Falso
135,Vero,VERONA,LA TERRAZZA,www.gardacamere.com,Falso,0457550990,PESCHIERA DEL GARDA,Via Salvi,info@gardacamere.com,Vero,Falso,Falso,Vero,Falso,Falso,Falso
